                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85425,                 1.3037,                 1.1717,                0.97687,                0.90571,                0.98916,                 0.8438,                0.66524,                0.82492,                0.86028,             0.00025005,             0.00025005,             0.00025005
                      2,                0.72206,                0.96115,                 1.0695,                0.98147,                0.98256,                  0.995,                0.78588,                0.83268,                0.77579,                0.96079,             0.00051165,             0.00051165,             0.00051165
                      3,                0.71089,                0.85177,                 1.0572,                 0.9237,                0.98605,                0.96875,                0.80639,                0.66467,                0.78262,                0.84623,             0.00076798,             0.00076798,             0.00076798
                      4,                0.69102,                 0.7773,                 1.0573,                  0.767,                0.91176,                0.96075,                0.67605,                 1.0999,                 1.2443,                 1.0435,               0.001019,               0.001019,               0.001019
                      5,                0.70677,                0.74401,                 1.0493,                0.88948,                0.88235,                0.93781,                0.74951,                0.66066,                0.87741,                0.77334,              0.0012648,              0.0012648,              0.0012648
                      6,                 0.7028,                0.73724,                 1.0481,                0.85398,                0.74471,                0.86244,                0.68249,                0.69819,                 1.1281,                0.82324,              0.0015053,              0.0015053,              0.0015053
                      7,                0.72994,                0.75355,                 1.0684,                0.77454,                 0.7534,                0.80519,                0.44186,                 1.3092,                 1.7817,                 1.3639,               0.001568,               0.001568,               0.001568
                      8,                0.68389,                0.71546,                 1.0374,                0.76029,                0.91176,                 0.8454,                0.54647,                 0.9245,                 1.3077,                 1.0434,              0.0015515,              0.0015515,              0.0015515
                      9,                0.71519,                0.74114,                 1.0428,                0.71014,                0.69059,                0.71485,                0.48892,                 1.2286,                 1.7882,                 1.1893,               0.001535,               0.001535,               0.001535
                     10,                0.66531,                0.66905,                 1.0298,                0.80208,                    0.9,                0.94088,                0.77932,                0.81021,                0.96106,                 0.8994,              0.0015185,              0.0015185,              0.0015185
                     11,                0.68959,                0.64651,                 1.0371,                0.79424,                0.94495,                  0.974,                 0.8029,                0.72486,                0.87432,                0.84533,               0.001502,               0.001502,               0.001502
                     12,                0.64604,                0.59287,                 1.0162,                 0.8668,                      1,                0.97186,                0.80989,                0.70354,                0.61284,                0.80995,              0.0014855,              0.0014855,              0.0014855
                     13,                0.68647,                0.62127,                 1.0272,                0.89031,                0.89484,                0.96644,                0.81597,                0.58713,                0.71025,                0.76764,               0.001469,               0.001469,               0.001469
                     14,                0.64332,                0.58074,                  1.015,                0.93916,                0.84272,                0.95554,                0.80327,                 0.6528,                 1.0205,                0.84368,              0.0014525,              0.0014525,              0.0014525
                     15,                0.60443,                0.54413,                 1.0004,                0.91103,                0.98302,                0.98844,                0.84251,                0.61941,                0.67409,                0.77688,               0.001436,               0.001436,               0.001436
                     16,                0.58641,                0.54166,                0.99138,                0.80107,                0.91879,                0.95708,                0.80151,                0.65177,                0.72865,                0.79861,              0.0014195,              0.0014195,              0.0014195
                     17,                0.60216,                 0.5451,                 1.0055,                0.87825,                      1,                0.96425,                0.86308,                0.54916,                0.57187,                0.72366,              0.0014029,              0.0014029,              0.0014029
                     18,                0.60762,                0.51709,                 1.0002,                 0.8115,                0.88235,                0.90138,                0.74288,                0.71384,                0.82883,                0.81524,              0.0013864,              0.0013864,              0.0013864
                     19,                0.62822,                0.54405,                 1.0139,                0.91037,                0.91582,                  0.947,                 0.8401,                0.56405,                0.65593,                0.74892,              0.0013699,              0.0013699,              0.0013699
                     20,                0.58818,                0.49402,                 1.0028,                0.86081,                   0.98,                0.97371,                 0.7891,                0.68601,                0.68274,                0.84918,              0.0013534,              0.0013534,              0.0013534
                     21,                0.59143,                 0.4854,                0.99058,                0.87183,                0.98706,                0.98076,                0.78789,                0.79567,                0.73268,                0.94757,              0.0013369,              0.0013369,              0.0013369
                     22,                0.58166,                0.49525,                0.98321,                0.91794,                      1,                0.98112,                0.86829,                0.53725,                0.45413,                0.73064,              0.0013204,              0.0013204,              0.0013204
                     23,                 0.5856,                0.46459,                0.97851,                0.91993,                      1,                  0.995,                0.87298,                0.52119,                0.45378,                0.69936,              0.0013039,              0.0013039,              0.0013039
                     24,                0.57185,                 0.4517,                0.98586,                0.97496,                 0.9864,                  0.995,                0.86646,                0.55694,                0.38919,                0.70309,              0.0012874,              0.0012874,              0.0012874
                     25,                0.56819,                0.46529,                0.99271,                 0.9204,                      1,                  0.995,                0.88556,                 0.5541,                0.42209,                0.69919,              0.0012709,              0.0012709,              0.0012709
                     26,                0.56179,                  0.449,                0.98987,                0.91697,                      1,                0.97325,                0.85657,                0.54601,                0.43434,                0.70755,              0.0012544,              0.0012544,              0.0012544
                     27,                0.54083,                0.44162,                0.98094,                0.92475,                0.99025,                  0.995,                0.87131,                0.54709,                0.43543,                0.71995,              0.0012379,              0.0012379,              0.0012379
                     28,                0.58118,                0.46147,                0.98924,                0.98545,                      1,                  0.995,                 0.8726,                0.59123,                 0.3789,                0.72461,              0.0012214,              0.0012214,              0.0012214
                     29,                0.54718,                0.43671,                0.98341,                0.92234,                      1,                0.98675,                0.87629,                0.52601,                 0.4073,                0.71649,              0.0012049,              0.0012049,              0.0012049
                     30,                0.54985,                0.42643,                0.96866,                 0.9322,                      1,                0.99361,                0.88856,                0.53441,                0.45857,                0.72167,              0.0011884,              0.0011884,              0.0011884
                     31,                0.55194,                0.42335,                0.96412,                0.73691,                0.96559,                0.98787,                0.86031,                0.58598,                0.73038,                0.74462,              0.0011719,              0.0011719,              0.0011719
                     32,                0.56134,                0.44098,                0.97726,                0.99226,                      1,                  0.995,                0.85778,                0.55206,                0.39855,                0.72975,              0.0011554,              0.0011554,              0.0011554
                     33,                0.54503,                0.42319,                0.97565,                0.99306,                      1,                  0.995,                0.87096,                0.54262,                0.41281,                0.74008,              0.0011389,              0.0011389,              0.0011389
                     34,                0.54998,                0.42662,                0.97315,                0.99246,                      1,                  0.995,                0.87422,                0.53904,                0.38424,                0.72704,              0.0011224,              0.0011224,              0.0011224
                     35,                0.55019,                0.41982,                0.97445,                0.98569,                0.96904,                  0.995,                0.86633,                0.53697,                 0.4048,                 0.7312,              0.0011059,              0.0011059,              0.0011059
                     36,                0.53373,                0.42161,                0.97766,                0.98496,                0.93733,                0.99125,                 0.8718,                0.55799,                0.44529,                0.75091,              0.0010894,              0.0010894,              0.0010894
                     37,                0.53669,                0.40394,                 0.9683,                0.89722,                      1,                0.97775,                0.86412,                0.54061,                0.40834,                0.71353,              0.0010729,              0.0010729,              0.0010729
                     38,                0.51437,                0.40203,                0.95691,                0.95174,                      1,                  0.995,                0.88864,                0.48375,                0.38643,                0.66554,              0.0010564,              0.0010564,              0.0010564
                     39,                0.52896,                0.40368,                0.97246,                0.94093,                      1,                  0.995,                0.88968,                 0.5539,                0.36884,                0.70794,              0.0010399,              0.0010399,              0.0010399
                     40,                0.51994,                0.38895,                0.96534,                0.98705,                      1,                  0.995,                0.90018,                0.54007,                0.38271,                0.73156,              0.0010234,              0.0010234,              0.0010234
                     41,                0.51425,                 0.3938,                0.96463,                0.99444,                      1,                  0.995,                0.89019,                0.53422,                0.36073,                0.69458,              0.0010069,              0.0010069,              0.0010069
                     42,                0.50889,                0.36866,                0.96116,                0.98489,                0.99237,                  0.995,                0.86497,                0.51927,                0.36065,                0.67498,             0.00099036,             0.00099036,             0.00099036
                     43,                0.53304,                0.38475,                  0.968,                0.97904,                0.99472,                  0.995,                0.89198,                0.46968,                0.38944,                0.66113,             0.00097386,             0.00097386,             0.00097386
                     44,                0.51181,                0.37569,                 0.9693,                0.92094,                      1,                  0.995,                0.88202,                0.51922,                0.38527,                0.67766,             0.00095736,             0.00095736,             0.00095736
                     45,                0.51698,                 0.3765,                0.96178,                0.92186,                      1,                  0.995,                0.90855,                 0.4792,                0.37624,                0.65642,             0.00094085,             0.00094085,             0.00094085
                     46,                0.49417,                0.36482,                0.95711,                 0.9739,                0.95911,                0.99352,                0.88193,                0.54645,                0.46148,                0.71673,             0.00092435,             0.00092435,             0.00092435
                     47,                0.51078,                0.37606,                0.96312,                0.98245,                      1,                  0.995,                0.90087,                0.51671,                0.39226,                 0.7306,             0.00090785,             0.00090785,             0.00090785
                     48,                0.50196,                0.35931,                 0.9565,                0.99339,                      1,                  0.995,                 0.9094,                 0.5348,                0.39099,                0.74482,             0.00089134,             0.00089134,             0.00089134
                     49,                0.50803,                0.36335,                0.94905,                0.98389,                      1,                  0.995,                0.88627,                0.51663,                 0.3404,                0.69227,             0.00087484,             0.00087484,             0.00087484
                     50,                0.50026,                0.36383,                0.95178,                0.98038,                      1,                  0.995,                0.89029,                 0.5017,                0.32764,                0.68036,             0.00085834,             0.00085834,             0.00085834
                     51,                0.49241,                0.36919,                0.96442,                0.98419,                      1,                  0.995,                0.91126,                0.46999,                0.33312,                0.66721,             0.00084184,             0.00084184,             0.00084184
                     52,                0.49308,                0.36042,                0.96504,                0.99424,                      1,                  0.995,                0.88856,                0.48894,                0.29258,                0.67271,             0.00082533,             0.00082533,             0.00082533
                     53,                0.48482,                0.35848,                 0.9401,                 0.9933,                      1,                  0.995,                0.90687,                0.48788,                0.29787,                0.67555,             0.00080883,             0.00080883,             0.00080883
                     54,                0.48626,                0.33491,                0.96611,                0.98577,                      1,                  0.995,                0.89653,                0.47047,                0.30129,                 0.6674,             0.00079233,             0.00079233,             0.00079233
                     55,                0.50445,                0.34922,                0.94184,                0.98322,                      1,                  0.995,                0.90013,                0.49321,                0.31367,                0.68037,             0.00077582,             0.00077582,             0.00077582
                     56,                 0.4766,                0.33209,                0.94809,                0.92227,                      1,                0.98125,                0.89366,                0.49308,                0.33883,                0.67242,             0.00075932,             0.00075932,             0.00075932
                     57,                0.47849,                0.34225,                0.95111,                0.98513,                      1,                  0.995,                0.89301,                 0.5111,                0.35757,                0.70145,             0.00074282,             0.00074282,             0.00074282
                     58,                0.47927,                0.34342,                0.95143,                0.98275,                      1,                  0.995,                0.89255,                0.50784,                 0.3584,                0.68726,             0.00072631,             0.00072631,             0.00072631
                     59,                0.48494,                0.32794,                0.94354,                0.97716,                      1,                  0.995,                0.88764,                0.49018,                0.33515,                0.66395,             0.00070981,             0.00070981,             0.00070981
                     60,                0.47766,                 0.3274,                0.94674,                0.98382,                      1,                  0.995,                0.90095,                0.47965,                0.31827,                 0.6544,             0.00069331,             0.00069331,             0.00069331
                     61,                0.49658,                0.33473,                0.94129,                0.98227,                      1,                  0.995,                 0.9072,                0.47957,                0.32679,                0.65068,              0.0006768,              0.0006768,              0.0006768
                     62,                0.49651,                0.33274,                0.94592,                0.99695,                      1,                  0.995,                0.90347,                0.50296,                0.32915,                0.66992,              0.0006603,              0.0006603,              0.0006603
                     63,                0.45512,                0.30917,                0.94895,                0.99635,                      1,                  0.995,                0.89646,                  0.486,                0.31042,                0.65604,              0.0006438,              0.0006438,              0.0006438
                     64,                0.48423,                0.33737,                0.94981,                0.99335,                0.96281,                  0.995,                0.89995,                0.50508,                0.38993,                 0.6762,             0.00062729,             0.00062729,             0.00062729
                     65,                0.45654,                0.31932,                0.93307,                 0.9857,                      1,                  0.995,                0.90299,                0.48097,                0.31136,                0.65868,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.4784,                 0.3207,                0.94824,                 0.9925,                      1,                  0.995,                0.91547,                0.46379,                0.28638,                0.64485,             0.00059429,             0.00059429,             0.00059429
                     67,                0.46192,                0.31398,                0.93575,                0.98948,                      1,                  0.995,                0.91655,                0.45432,                0.28309,                0.63492,             0.00057778,             0.00057778,             0.00057778
                     68,                0.46495,                0.31423,                0.93652,                0.99108,                      1,                  0.995,                0.91505,                0.45504,                0.28105,                0.63731,             0.00056128,             0.00056128,             0.00056128
                     69,                0.46047,                0.30435,                0.93921,                 0.9941,                      1,                  0.995,                0.90513,                0.49318,                0.27223,                0.66963,             0.00054478,             0.00054478,             0.00054478
                     70,                0.43781,                 0.2968,                0.93778,                0.99428,                      1,                  0.995,                0.90093,                0.50194,                0.27314,                0.67245,             0.00052827,             0.00052827,             0.00052827
                     71,                0.46447,                0.30036,                0.94936,                0.99361,                      1,                  0.995,                0.90878,                0.48318,                0.26973,                0.65279,             0.00051177,             0.00051177,             0.00051177
                     72,                0.46085,                0.32121,                0.93285,                0.99215,                      1,                  0.995,                  0.903,                0.48794,                0.27564,                0.65253,             0.00049527,             0.00049527,             0.00049527
                     73,                0.45226,                0.31034,                0.94482,                0.99166,                      1,                  0.995,                0.90806,                0.47764,                0.27755,                 0.6522,             0.00047876,             0.00047876,             0.00047876
                     74,                0.46077,                 0.3141,                0.94446,                0.99376,                      1,                  0.995,                0.91039,                0.46528,                 0.2887,                0.64992,             0.00046226,             0.00046226,             0.00046226
                     75,                0.45833,                0.30451,                0.94234,                0.99411,                      1,                  0.995,                0.90721,                0.46986,                0.29337,                0.65115,             0.00044576,             0.00044576,             0.00044576
                     76,                0.45505,                0.30151,                0.93796,                0.99431,                      1,                  0.995,                0.91633,                0.46452,                0.27931,                0.64016,             0.00042925,             0.00042925,             0.00042925
                     77,                0.43641,                0.29741,                0.93816,                0.99338,                      1,                  0.995,                0.90862,                0.46499,                0.28828,                0.63783,             0.00041275,             0.00041275,             0.00041275
                     78,                0.45548,                0.29741,                0.93253,                0.99483,                      1,                  0.995,                0.90933,                0.46988,                0.28262,                0.63807,             0.00039625,             0.00039625,             0.00039625
                     79,                0.42983,                0.28086,                0.93378,                0.99509,                      1,                  0.995,                0.90721,                0.48843,                0.29574,                0.65821,             0.00037974,             0.00037974,             0.00037974
                     80,                0.43287,                0.29698,                0.93509,                0.99556,                      1,                  0.995,                0.90924,                0.48122,                0.28831,                0.65515,             0.00036324,             0.00036324,             0.00036324
                     81,                0.45366,                0.30786,                0.93817,                0.99423,                      1,                  0.995,                0.90901,                0.47097,                0.28681,                0.63975,             0.00034674,             0.00034674,             0.00034674
                     82,                 0.4265,                0.28813,                0.92506,                0.99496,                      1,                  0.995,                0.90681,                0.47086,                0.30058,                0.63462,             0.00033023,             0.00033023,             0.00033023
                     83,                  0.435,                0.27813,                0.92712,                0.99362,                      1,                  0.995,                 0.9094,                0.46469,                 0.2749,                0.62879,             0.00031373,             0.00031373,             0.00031373
                     84,                0.42105,                0.28334,                0.92627,                0.99556,                      1,                  0.995,                0.91242,                0.46434,                0.26987,                0.64042,             0.00029723,             0.00029723,             0.00029723
                     85,                0.44041,                0.28129,                0.94253,                0.99449,                      1,                  0.995,                0.91376,                0.45685,                0.26392,                0.63481,             0.00028072,             0.00028072,             0.00028072
                     86,                0.42587,                0.29005,                0.91805,                0.99512,                      1,                  0.995,                0.90911,                0.45687,                 0.2552,                0.62875,             0.00026422,             0.00026422,             0.00026422
                     87,                0.41343,                0.27769,                0.93574,                0.99485,                      1,                  0.995,                0.90624,                0.45315,                0.26023,                0.62836,             0.00024772,             0.00024772,             0.00024772
                     88,                0.41128,                 0.2774,                0.92822,                0.99443,                      1,                  0.995,                0.89516,                0.47416,                 0.2703,                0.64574,             0.00023121,             0.00023121,             0.00023121
                     89,                0.41523,                0.27168,                0.92838,                0.99468,                      1,                  0.995,                0.88507,                0.49008,                 0.2704,                 0.6527,             0.00021471,             0.00021471,             0.00021471
                     90,                0.42684,                0.26919,                0.93116,                0.99499,                      1,                  0.995,                0.89739,                0.47964,                0.26236,                0.64235,             0.00019821,             0.00019821,             0.00019821
                     91,                0.41042,                0.31193,                0.93175,                0.99435,                      1,                  0.995,                0.89885,                0.47233,                 0.2617,                0.63446,              0.0001817,              0.0001817,              0.0001817
                     92,                0.38328,                0.25396,                0.92812,                0.99307,                      1,                  0.995,                0.89737,                0.47419,                0.29247,                0.64114,              0.0001652,              0.0001652,              0.0001652
                     93,                0.39464,                0.24707,                0.95376,                0.99126,                      1,                  0.995,                0.89515,                0.46768,                0.30999,                0.64175,              0.0001487,              0.0001487,              0.0001487
                     94,                0.38025,                0.23575,                0.93578,                0.99299,                      1,                  0.995,                0.90084,                0.46564,                0.29496,                0.64251,             0.00013219,             0.00013219,             0.00013219
                     95,                0.37863,                0.22664,                0.91979,                0.99421,                      1,                  0.995,                0.89794,                0.45608,                0.27749,                 0.6286,             0.00011569,             0.00011569,             0.00011569
                     96,                0.37767,                0.22695,                0.92206,                 0.9948,                      1,                  0.995,                0.90519,                  0.456,                0.26807,                 0.6298,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.37911,                0.23053,                0.94608,                0.99538,                      1,                  0.995,                0.90765,                0.46495,                0.25682,                0.63665,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.37883,                 0.2347,                0.92657,                0.99565,                      1,                  0.995,                0.89632,                 0.4706,                0.24968,                0.64286,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.37105,                 0.2238,                0.93571,                0.99565,                      1,                  0.995,                0.89771,                0.47481,                0.24946,                0.64406,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.37164,                0.22587,                0.93248,                0.99568,                      1,                  0.995,                0.90019,                0.47375,                0.24942,                0.64205,             3.3173e-05,             3.3173e-05,             3.3173e-05
